N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
191,진원생명과학,"29,950","6,900",+29.93%,"1,000","13,534","45,189",12.71,"37,551,217",-68.54,-30.43,
192,코스맥스,"134,500","2,000",+1.51%,500,"13,517","10,050",22.56,"99,020",42.31,6.23,
193,태광산업,"1,207,000","17,000",-1.39%,"5,000","13,439","1,113",7.30,"1,496",10.64,3.26,
194,롯데칠성,"149,000","3,000",-1.97%,500,"13,373","8,975",8.54,"136,099",200.81,-1.00,
195,LG전자우,"76,500",100,+0.13%,"5,000","13,147","17,186",41.01,"128,639",7.13,N/A,
196,이노션,"64,700",400,+0.62%,500,"12,940","20,000",30.36,"27,458",22.03,8.28,
197,보령제약,"24,600","1,050",+4.46%,500,"12,822","52,120",6.29,"660,551",33.88,8.62,
198,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83,
199,KODEX 2차전지산업,"18,690",150,+0.81%,0,"12,728","68,100",0.04,"1,177,676",N/A,N/A,
200,다우기술,"27,700",400,+1.47%,500,"12,428","44,867",22.20,"148,441",3.28,18.85,
